"Position" "Const" "Created" "Modified" "Description" "Title" "URL" "Title Type" "IMDb Rating" "Runtime (mins)" "Year" "Genres" "Num Votes" "Release Date" "Directors" "Your Rating" "Date Rated"
124 "tt0195714" 2013-01-27 2013-01-27 NA "Final Destination" "https://www.imdb.com/title/tt0195714/" "movie" 6.7 98 2000 "Horror, Thriller" 200257 2000-03-16 "James Wong" 3 2013-02-01
339 "tt1001508" 2015-10-17 2015-10-17 NA "He's Just Not That Into You" "https://www.imdb.com/title/tt1001508/" "movie" 6.4 129 2009 "Comedy, Drama, Romance" 143496 2009-01-24 "Ken Kwapis" 7 2015-10-17
176 "tt0780076" 2013-01-28 2013-01-28 NA "Maxx" "https://www.imdb.com/title/tt0780076/" "movie" 6.3 110 2005 "Comedy, Musical" 682 2005-12-14 "Saman Moghadam" 7 2013-01-31
378 "tt2277860" 2016-09-18 2016-09-18 NA "Finding Dory" "https://www.imdb.com/title/tt2277860/" "movie" 7.3 97 2016 "Animation, Adventure, Comedy, Family" 190024 2016-06-08 "Andrew Stanton, Angus MacLane" 9 2016-12-21
401 "tt6219484" 2017-06-23 2017-06-23 NA "A House on 41st Street" "https://www.imdb.com/title/tt6219484/" "movie" 5.7 86 2016 "Crime, Drama" 170 2016-02-01 "Hamid Reza Ghorbani" 6 2017-06-23
20 "tt0112573" 2013-01-27 2013-01-27 NA "Braveheart" "https://www.imdb.com/title/tt0112573/" "movie" 8.4 178 1995 "Biography, Drama, History, War" 842161 1995-05-18 "Mel Gibson" 8 2013-01-31
224 "tt0029583" 2013-02-03 2013-02-03 NA "Snow White and the Seven Dwarfs" "https://www.imdb.com/title/tt0029583/" "movie" 7.6 83 1937 "Animation, Family, Fantasy, Musical, Romance" 152992 1937-12-21 "William Cottrell, Ben Sharpsteen, David Hand, Perce Pearce, Wilfred Jackson, Larry Morey" 6 2013-02-03
427 "tt0296310" 2018-04-29 2018-04-29 NA "The Blue Planet" "https://www.imdb.com/title/tt0296310/" "tvMiniSeries" 9 50 2001 "Documentary" 21169 2001-09-12 NA 10 2018-04-29
233 "tt0335119" 2013-02-03 2013-02-03 NA "Girl with a Pearl Earring" "https://www.imdb.com/title/tt0335119/" "movie" 6.9 100 2003 "Biography, Drama, Romance" 65636 2003-08-31 "Peter Webber" 7 2013-02-03
193 "tt2489408" 2013-01-28 2013-01-28 NA "Zede Golooleh" "https://www.imdb.com/title/tt2489408/" "movie" 5.5 104 2012 "Comedy, Drama, War" 191 2012-02-01 "Mostafa Kiayee" 7 2013-02-01
402 "tt3610746" 2017-06-30 2017-06-30 NA "Don't Hang Up" "https://www.imdb.com/title/tt3610746/" "movie" 5.6 83 2016 "Horror, Thriller" 8857 2016-10-22 "Alexis Wajsbrot, Damien Macé" 6 2017-06-30
190 "tt1910594" 2013-01-28 2013-01-28 NA "Par-e parvaz" "https://www.imdb.com/title/tt1910594/" "movie" 5.1 NA 2000 "Drama, Music, Romance" 160 NA "Khosro Masumi" 4 2013-02-01
284 "tt0050658" 2014-01-07 2014-01-07 NA "Love in the Afternoon" "https://www.imdb.com/title/tt0050658/" "movie" 7.3 130 1957 "Comedy, Crime, Drama, Romance" 11540 1957-05-29 "Billy Wilder" 8 2014-01-07
239 "tt0423866" 2013-02-06 2013-02-06 NA "Bin-jip" "https://www.imdb.com/title/tt0423866/" "movie" 8.1 88 2004 "Crime, Drama, Romance" 42894 2004-09-07 "Ki-duk Kim" 8 2013-02-06
43 "tt0120363" 2013-01-27 2013-01-27 NA "Toy Story 2" "https://www.imdb.com/title/tt0120363/" "movie" 7.9 92 1999 "Animation, Adventure, Comedy, Family, Fantasy" 435965 1999-11-13 "John Lasseter, Lee Unkrich, Ash Brannon" 8 2013-02-01
374 "tt0266697" 2016-09-04 2016-09-04 NA "Kill Bill: Vol. 1" "https://www.imdb.com/title/tt0266697/" "movie" 8.1 111 2003 "Action, Crime, Thriller" 844814 2003-09-29 "Quentin Tarantino" 7 2016-09-04
102 "tt0332452" 2013-01-27 2013-01-27 NA "Troy" "https://www.imdb.com/title/tt0332452/" "movie" 7.2 163 2004 "Drama, History, Romance" 427659 2004-05-09 "Wolfgang Petersen" 7 2013-01-31
18 "tt0120689" 2013-01-27 2013-01-27 NA "The Green Mile" "https://www.imdb.com/title/tt0120689/" "movie" 8.5 189 1999 "Crime, Drama, Fantasy, Mystery" 927847 1999-12-06 "Frank Darabont" 9 2013-02-14
136 "tt0356470" 2013-01-27 2013-01-27 NA "A Cinderella Story" "https://www.imdb.com/title/tt0356470/" "movie" 5.9 95 2004 "Comedy, Family, Romance" 70664 2004-07-10 "Mark Rosman" 5 2013-02-01
393 "tt3845892" 2017-01-17 2017-01-17 NA "Sherlock: The Final Problem" "https://www.imdb.com/title/tt3845892/" "tvEpisode" 8.3 89 2017 "Crime, Drama, Mystery" 19987 2017-01-15 "Benjamin Caron" 9 2017-01-17
365 "tt4255274" 2016-03-09 2016-03-09 NA "Meet My Valentine" "https://www.imdb.com/title/tt4255274/" "tvMovie" 6.4 89 2015 "Drama, Romance" 792 2015-02-06 "Brian Herzlinger" 4 2016-03-14
418 "tt3470600" 2017-12-30 2017-12-30 NA "Sing" "https://www.imdb.com/title/tt3470600/" "movie" 7.1 108 2016 "Animation, Comedy, Family, Music, Musical" 97309 2016-09-11 "Garth Jennings, Christophe Lourdelet" 8 2017-12-30
262 "tt2418328" 2013-06-04 2013-06-04 NA "Tofigh-e Ejbari" "https://www.imdb.com/title/tt2418328/" "movie" 4.7 91 2008 "Comedy" 392 2008-02-13 "Mohammad Hossein Latifi" 3 2013-06-04
